stride,time_ms,bandwidth_MB_s,sum
1,82.1200,9741.84,49500000.000000
2,29.3390,13633.73,24500000.000000
3,18.7120,14251.39,16500330.000000
4,14.6060,13693.00,12000000.000000
5,11.1840,14306.15,9500000.000000
6,9.2600,14399.14,8166660.000000
7,8.0560,14186.69,7071850.000000
8,7.0080,14269.41,6000000.000000
9,6.2010,14335.75,5500440.000000
10,5.5360,14450.87,4500000.000000
11,5.1380,14154.92,4500450.000000
12,4.6560,14319.59,4000320.000000
13,4.2550,14463.92,3808140.000000
14,4.0290,14183.17,3500420.000000
15,3.7390,14264.78,3166650.000000
16,3.6030,13877.32,3000000.000000
17,3.2630,14423.54,2911510.000000
18,3.0730,14464.04,2722200.000000
19,2.9050,14496.39,2606040.000000
20,2.7960,14306.15,2000000.000000
